episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
248,620.0,518,143709,0.1,0.14646798031261335,705.5476994169985,True,False
249,1290.0,918,144627,0.1,0.15203597442161568,712.8275555420005,True,False
250,310.0,333,144960,0.1,0.13871327840856143,714.9419288749996,True,False
251,300.0,366,145326,0.1,0.13567920362801997,718.5885909169992,True,False
252,300.0,372,145698,0.1,0.13474943152358454,721.9737892079975,True,False
253,770.0,659,146357,0.1,0.14597392626332514,727.2679840829987,True,False
254,570.0,464,146821,0.1,0.15034672139405175,730.9799955419985,True,False
255,940.0,728,147549,0.1,0.1465923346906573,735.9430557499982,True,False
256,820.0,537,148086,0.1,0.16128765371864412,739.2812384169993,True,False
257,350.0,385,148471,0.1,0.16097838806066042,741.5428815829982,True,False
258,1080.0,685,149156,0.1,0.14399747166046223,745.9941329579997,True,False
259,520.0,528,149684,0.1,0.1550080966712399,750.7629445419989,True,False
260,1160.0,1013,150697,0.1,0.16583570246787174,758.1426573329991,True,False
261,520.0,490,151187,0.1,0.1598609435509463,762.0206843749984,True,False
262,770.0,601,151788,0.1,0.14516661382767537,766.7268468749971,True,False
263,510.0,476,152264,0.1,0.1646463975873815,770.785826583,True,False
264,600.0,528,152792,0.1,0.16400806967056158,774.2487780419979,True,False
265,1370.0,799,153591,0.1,0.14264015663396473,779.500952082999,True,False
266,560.0,582,154173,0.1,0.1522574462762026,783.0857776669982,True,False
267,320.0,398,154571,0.1,0.14154747023124886,785.9259604580002,True,False
268,300.0,328,154899,0.1,0.15298463631330467,788.5694507499975,True,False
269,1230.0,831,155730,0.1,0.15300513406355792,794.5137587079989,True,False
270,660.0,584,156314,0.1,0.17894930611938648,798.5779189579989,True,False
271,380.0,357,156671,0.1,0.14269902611548982,801.8483708329986,True,False
272,1040.0,860,157531,0.1,0.17589713371423787,807.9869416250003,True,False
273,1550.0,821,158352,0.1,0.16917269553953004,812.7021600419976,True,False
274,1050.0,778,159130,0.1,0.14899039422113872,816.0176638329976,True,False
275,800.0,823,159953,0.1,0.14949891244251173,819.7481640829974,True,False
276,500.0,638,160591,0.1,0.15472472947582883,823.2671179169993,True,False
277,290.0,346,160937,0.1,0.1621429342990634,824.7937754999984,True,False
278,450.0,362,161299,0.1,0.14463765238308243,826.3685540419974,True,False
279,1190.0,729,162028,0.1,0.15254700411864316,829.5889808329994,True,False
280,2080.0,729,162757,0.1,0.1615321098898466,833.2809415829979,True,False
281,670.0,524,163281,0.1,0.14181148363206222,835.5543999999973,True,False
282,470.0,479,163760,0.1,0.15365687656837204,838.9142704579972,True,False
283,470.0,428,164188,0.1,0.14656837716280857,840.8594801670006,True,False
284,440.0,497,164685,0.1,0.1714063103821489,843.6322283329973,True,False
285,610.0,571,165256,0.1,0.16152181947877356,848.085338375,True,False
286,940.0,522,165778,0.1,0.17103790735396054,850.9072492079977,True,False
287,650.0,682,166460,0.1,0.14254415893589545,854.2097054169972,True,False
288,2130.0,630,167090,0.1,0.1833996147059711,857.7418398749978,True,False
289,390.0,432,167522,0.1,0.14729277610226912,860.1157757919973,True,False
290,370.0,507,168029,0.1,0.1578007676294,862.6602977919974,True,False
291,830.0,517,168546,0.1,0.17183514340787895,865.6437573330004,True,False
292,1050.0,749,169295,0.1,0.16424767190919204,870.2129945829984,True,False
293,360.0,441,169736,0.1,0.17479981936782868,872.5640448329978,True,False
294,680.0,565,170301,0.1,0.1473246592341374,875.9319059169975,True,False
295,850.0,536,170837,0.1,0.15191615603641787,878.8342660829985,True,False
296,470.0,572,171409,0.1,0.16064558813830357,882.0245276249989,True,False
297,630.0,585,171994,0.1,0.1816016876279083,884.8032880829996,True,False
298,490.0,486,172480,0.1,0.16041118231769957,887.5075316250004,True,False
299,700.0,477,172957,0.1,0.1533250690226545,890.0225574579999,True,False
300,500.0,455,173412,0.1,0.1655808227921003,892.0877792499996,True,False
